,Country,Influence,Passivity
121,KW,0.01874319803474451,0.00781935598917925
126,IR,0.016657242625748445,0.00781935598917925
113,OM,0.014529290471280747,0.00781935598917925
18,BI,0.013078582719788888,0.007770266373456675
23,BD,0.013011144504428527,0.00781935598917925
74,DE,0.012501653193973885,0.007808028541728061
14,KE,0.012423101865346693,0.007949660277210524
88,EE,0.012331708523710943,0.007806466501932601
48,SI,0.012248446296193585,0.007826828548745774
101,AT,0.012248446296193585,0.007826828548745774
